experiment_id,problem_id,generation,program,syntax_correct,execution_success,passed_tests,total_tests,error_type,failed_test_case,test_category,expected_output,actual_output,stderr,execution_time_ms,LOC,Blank_Lines,Comment_Lines,Functions,Loops,Ifs,Inputs,Prints,Assignments,Returns,Parse_Status
PILOT_01,1,A,solution_A.py,Yes,Yes,5,5,,,,,,,274.78,4,1,0,0,0,0,0,1,1,0,Success
PILOT_01,1,B,solution_B.py,Yes,Yes,5,5,,,,,,,206.18,4,1,0,0,0,0,0,1,1,0,Success
PILOT_01,1,C,solution_C.py,Yes,Yes,5,5,,,,,,,200.96,4,1,0,0,0,0,0,1,1,0,Success
PILOT_01,2,A,solution_A.py,Yes,Yes,5,5,,,,,,,227.92,5,1,0,0,0,0,0,1,2,0,Success
PILOT_01,2,B,solution_B.py,Yes,No,0,5,Runtime Error,1.0,Normal,78.54,,"File ""/content/drive/MyDrive/AI-Code-Judgment-CS1/generated_code/problem_002/solution_B.py"", line 5
    r = float(data)
    ^
IndentationError: expected an indented block after 'if' statement on line 4",42.77,7,1,0,0,0,0,0,0,0,0,Syntax Error
PILOT_01,2,C,solution_C.py,Yes,Yes,5,5,,,,,,,198.85,5,1,0,0,0,0,0,1,2,0,Success
PILOT_01,3,A,solution_A.py,Yes,Yes,5,5,,,,,,,237.56,6,1,0,0,0,0,0,1,3,0,Success
PILOT_01,3,B,solution_B.py,Yes,Yes,5,5,,,,,,,203.24,5,1,0,0,0,0,0,1,2,0,Success
PILOT_01,3,C,solution_C.py,Yes,Yes,5,5,,,,,,,214.82,6,1,0,0,0,0,0,1,3,0,Success
PILOT_01,4,A,solution_A.py,Yes,Yes,5,5,,,,,,,206.63,4,1,0,0,0,0,0,1,1,0,Success
PILOT_01,4,B,solution_B.py,Yes,Yes,5,5,,,,,,,202.1,2,0,0,0,0,0,2,1,1,0,Success
PILOT_01,4,C,solution_C.py,Yes,Yes,5,5,,,,,,,203.1,4,1,0,0,0,0,0,1,1,0,Success
PILOT_01,5,A,solution_A.py,Yes,Yes,5,5,,,,,,,260.01,5,1,0,0,0,0,0,1,1,0,Success
PILOT_01,5,B,solution_B.py,Yes,Yes,5,5,,,,,,,280.49,5,1,0,0,0,0,0,1,1,0,Success
PILOT_01,5,C,solution_C.py,Yes,No,0,5,Runtime Error,1.0,Zero,1,,"File ""/content/drive/MyDrive/AI-Code-Judgment-CS1/generated_code/problem_005/solution_C.py"", line 5
    n = int(data)
    ^
IndentationError: expected an indented block after 'if' statement on line 4",70.31,9,1,0,0,0,0,0,0,0,0,Syntax Error
PILOT_01,6,A,solution_A.py,Yes,No,0,5,Runtime Error,1.0,Small Prime,Prime,,"File ""/content/drive/MyDrive/AI-Code-Judgment-CS1/generated_code/problem_006/solution_A.py"", line 5
    if n < 2:
    ^^
IndentationError: expected an indented block after function definition on line 4",55.4,21,2,0,0,0,0,0,0,0,0,Syntax Error
PILOT_01,6,B,solution_B.py,Yes,No,0,5,Runtime Error,1.0,Small Prime,Prime,,"File ""/content/drive/MyDrive/AI-Code-Judgment-CS1/generated_code/problem_006/solution_B.py"", line 5
    if n <= 1:
    ^^
IndentationError: expected an indented block after function definition on line 4",55.51,21,2,0,0,0,0,0,0,0,0,Syntax Error
PILOT_01,6,C,solution_C.py,Yes,No,0,5,Runtime Error,1.0,Small Prime,Prime,,"File ""/content/drive/MyDrive/AI-Code-Judgment-CS1/generated_code/problem_006/solution_C.py"", line 5
    if n < 2:
    ^^
IndentationError: expected an indented block after function definition on line 4",55.41,19,2,0,0,0,0,0,0,0,0,Syntax Error
PILOT_01,7,A,solution_A.py,Yes,Yes,5,5,,,,,,,271.53,6,1,0,0,0,0,0,1,3,0,Success
PILOT_01,7,B,solution_B.py,Yes,No,0,5,Runtime Error,1.0,Normal,15,,"File ""/content/drive/MyDrive/AI-Code-Judgment-CS1/generated_code/problem_007/solution_B.py"", line 5
    n = data[0]
    ^
IndentationError: expected an indented block after 'if' statement on line 4",55.15,7,1,0,0,0,0,0,0,0,0,Syntax Error
PILOT_01,7,C,solution_C.py,Yes,No,0,5,Runtime Error,1.0,Normal,15,,"File ""/content/drive/MyDrive/AI-Code-Judgment-CS1/generated_code/problem_007/solution_C.py"", line 5
    n = data[0]
    ^
IndentationError: expected an indented block after 'if' statement on line 4",54.62,7,1,0,0,0,0,0,0,0,0,Syntax Error
PILOT_01,8,A,solution_A.py,Yes,Yes,5,5,,,,,,,266.28,6,1,0,0,0,0,0,1,3,0,Success
PILOT_01,8,B,solution_B.py,Yes,Yes,5,5,,,,,,,284.28,6,1,0,0,0,0,0,1,3,0,Success
